from_node,to_node,distance,route_id,bus_number,from_ars_id
113000053,113000056,305.2560600467786,100000004,8001,14143
113000056,102000133,530.4774100691691,100000004,8001,14146
102000133,102000134,425.09682201403723,100000004,8001,3227
102000134,101000013,311.84689480137484,100000004,8001,3228
101000013,101000006,316.74186662225526,100000004,8001,2105
101000006,101000047,597.2767987702085,100000004,8001,2006
101000047,101000046,66.5132849477176,100000004,8001,2146
101000046,101000014,760.7996012427402,100000004,8001,2145
101000014,101000011,282.69884789545824,100000004,8001,2106
101000011,101000010,282.17535008691794,100000004,8001,2103
101000010,101000009,432.1699454669145,100000004,8001,2102
101000009,113000055,527.8136342499142,100000004,8001,2101
113000055,113000058,752.7775197080271,100000004,8001,14145
123000169,123000173,311.2981632912677,100000008,8321A,24259
123000173,123000174,320.17471714821346,100000008,8321A,24263
123000174,123000158,167.6497660664078,100000008,8321A,24264
123000158,123000157,559.3149537604054,100000008,8321A,24248
123000157,123000155,381.7398765394772,100000008,8321A,24247
123000155,124000088,686.0982131413163,100000008,8321A,24245
124000088,124000120,360.79918752047894,100000008,8321A,25188
124000120,124000173,275.48250574112274,100000008,8321A,25231
124000173,124000171,321.39937571970194,100000008,8321A,25285
124000171,124000169,302.34427014394646,100000008,8321A,25283
124000169,123000376,323.17322914310785,100000008,8321A,25281
123000376,123900005,263.6174553582884,100000008,8321A,24468
123900005,123000033,232.85495938952147,100000008,8321A,24501
123000033,104000072,2664.7851200334135,100000008,8321A,24121
104000072,104000062,444.74854888197507,100000008,8321A,5165
104000062,104000049,448.3809880378547,100000008,8321A,5155
104000049,104000050,423.05278425686487,100000008,8321A,5142
104000050,104000134,503.9489239785541,100000008,8321A,5143
104000134,104000135,340.9898817329183,100000008,8321A,5227
104000135,104000136,334.69701018309775,100000008,8321A,5228
104000136,104000125,241.02560764810553,100000008,8321A,5229
104000125,104000121,290.5887622820654,100000008,8321A,5218
104000121,104000108,169.95967292443885,100000008,8321A,5214
104000108,104000120,194.38056350478598,100000008,8321A,5201
104000120,104000117,189.87197589666604,100000008,8321A,5213
104000117,104000097,328.545524556315,100000008,8321A,5210
104000097,104000098,364.9764507210035,100000008,8321A,5190
104000098,104000100,350.42017390066593,100000008,8321A,5191
104000100,123000508,1603.2881749283438,100000008,8321A,5193
123000508,123000045,995.1493786026497,100000008,8321A,24480
123000045,123000047,350.85165125998117,100000008,8321A,24134
123000047,123000108,485.8472989149066,100000008,8321A,24136
123000108,123000113,460.20258040837984,100000008,8321A,24197
123000113,123000136,307.15211591384144,100000008,8321A,24202
123000136,123000137,263.8227211462902,100000008,8321A,24225
123000137,123000132,281.5049545037459,100000008,8321A,24226
123000132,123000138,290.6607622026079,100000008,8321A,24221
123000138,123000140,345.81418739845185,100000008,8321A,24227
123000140,123000175,382.1762377298268,100000008,8321A,24229
123000175,123000172,315.98985431325593,100000008,8321A,24265
123000172,123000170,387.457592424166,100000008,8321A,24262
104000096,104000168,345.94202497335584,100000009,8321B,5189
104000168,104000118,126.43429929265052,100000009,8321B,5261
104000118,104000119,209.25892584222038,100000009,8321B,5211
104000119,104000109,209.17614303947323,100000009,8321B,5212
104000109,104000110,95.38958263509086,100000009,8321B,5202
104000110,104000111,296.7481302243521,100000009,8321B,5203
104000111,104000139,268.36140219848016,100000009,8321B,5204
104000139,104000141,601.62176803433,100000009,8321B,5232
104000141,104000138,170.24598145813997,100000009,8321B,5234
104000138,104000290,427.3144251270583,100000009,8321B,5231
104000290,104000051,416.6382966816198,100000009,8321B,5233
104000051,104000057,416.19548905692557,100000009,8321B,5144
104000057,104000071,398.1696652327256,100000009,8321B,5150
104000071,123000143,2904.920454717588,100000009,8321B,5164
123000143,124000196,284.8648969405837,100000009,8321B,24232
124000196,124000170,232.96882505389135,100000009,8321B,25313
124000170,124000172,294.0692516790846,100000009,8321B,25282
124000172,124000174,313.9051573273321,100000009,8321B,25284
124000174,124000119,277.5510030950942,100000009,8321B,25286
124000119,123000144,345.7455002996988,100000009,8321B,25230
123000144,123000153,309.7501838714321,100000009,8321B,24234
123000153,123000154,383.3461076980185,100000009,8321B,24243
123000154,123000156,430.943376029672,100000009,8321B,24244
123000156,123000141,580.2547097655445,100000009,8321B,24246
123000141,123000139,295.99614320448154,100000009,8321B,24230
123000139,123000129,246.13736033426946,100000009,8321B,24228
123000129,123000130,216.5889171620533,100000009,8321B,24218
123000130,123000300,267.2188917090753,100000009,8321B,24219
123000300,123000131,247.45664297599404,100000009,8321B,24391
123000131,123000125,237.1106519301151,100000009,8321B,24220
123000125,123000126,453.3925215325237,100000009,8321B,24214
123000126,123000043,556.4384832153047,100000009,8321B,24215
123000043,123000044,196.28311955671944,100000009,8321B,24132
123000044,123000507,720.1328585306973,100000009,8321B,24133
123000507,104000101,1566.6401441028504,100000009,8321B,24479
104000101,104000094,109.93423840104079,100000009,8321B,5194
104000094,104000092,290.02338533847865,100000009,8321B,5187
104000092,104000090,384.01422436849344,100000009,8321B,5185
104000090,104000116,305.362978197603,100000009,8321B,5183
100000184,100000183,679.7158284504625,100000011,54321,1282
100000183,100000009,981.9238549132006,100000011,54321,1281
100000009,100000184,364.1137055248446,100000012,12345,1104
100000184,100000183,679.7158284504625,100000012,12345,1282
100000343,100000019,8.182287418159172,100000014,1991,1777
100000019,100000170,98.66623603905958,100000014,1991,1114
100000170,100000173,228.62045945917507,100000014,1991,1268
100000173,100000018,6.731634693307596,100000014,1991,1271
121000167,121000166,1201.9951286636913,100000015,N854,22243
121000166,121000165,436.3207970179428,100000015,N854,22242
121000165,121000533,370.1371780583097,100000015,N854,22241
121000533,121000532,580.41538758785,100000015,N854,22027
121000532,121000531,323.44233231639697,100000015,N854,22029
121000531,121000530,318.0146247961982,100000015,N854,22031
121000530,121000149,372.8784378726277,100000015,N854,22033
121000149,121000024,762.1520208705773,100000015,N854,22225
121000024,121000022,517.5318922582328,100000015,N854,22024
121000022,121000020,870.9228173703201,100000015,N854,22022
121000020,121000135,481.3595771336657,100000015,N854,22020
121000135,121000142,544.1229009108995,100000015,N854,22211
121000142,121000057,604.2636424031439,100000015,N854,22218
121000057,121000027,336.34313616584126,100000015,N854,22133
121000027,121000028,455.50661873138415,100000015,N854,22103
121000028,121000038,359.81826792667147,100000015,N854,22104
121000038,122000184,484.9247411569365,100000015,N854,22114
122000184,122000185,418.6440216623056,100000015,N854,23287
122000185,122000178,358.12791754420556,100000015,N854,23288
122000178,122000166,573.7344580987719,100000015,N854,23281
122000166,122000045,253.30325942625947,100000015,N854,23269
122000045,122000046,352.2818525295088,100000015,N854,23145
122000046,122000032,440.14605567098783,100000015,N854,23146
122000032,122000033,404.2179573441636,100000015,N854,23132
122000033,122000024,263.46245414785125,100000015,N854,23133
122000024,122000025,389.9749699761882,100000015,N854,23124
122000025,122000026,299.4096573368457,100000015,N854,23125
122000026,122000082,549.3523997397834,100000015,N854,23126
122000082,122000065,640.0992878451485,100000015,N854,23185
122000065,104000127,1610.674000679487,100000015,N854,23167
104000127,104000123,336.1668329814696,100000015,N854,5220
104000123,104000124,430.4411550880085,100000015,N854,5216
104000124,104000137,78.70241643502497,100000015,N854,5217
104000137,103000110,433.2745441517447,100000015,N854,5230
103000110,103000091,193.96449374297765,100000015,N854,4209
103000091,103000090,335.6678040111223,100000015,N854,4190
103000090,122000064,1700.6025851094573,100000015,N854,4189
122000064,122000077,440.18838764071216,100000015,N854,23166
122000077,122000059,612.5495747159546,100000015,N854,23180
122000059,122000651,282.206306557654,100000015,N854,23161
122000651,122000050,380.0807105420368,100000015,N854,23155
122000050,122000013,327.0505097945876,100000015,N854,23151
122000013,122000014,405.5385086325442,100000015,N854,23113
122000014,122000019,537.5193883133694,100000015,N854,23114
122000019,122000324,272.6368024197481,100000015,N854,23119
122000324,122000165,286.8590954099276,100000015,N854,23431
122000165,122000179,474.27127924343006,100000015,N854,23268
122000179,122000180,191.12975743260256,100000015,N854,23282
122000180,122000181,490.86115711850056,100000015,N854,23283
122000181,121000091,284.4690305906036,100000015,N854,23284
121000091,121000092,363.3776890449986,100000015,N854,22167
121000092,121000093,280.70371491556386,100000015,N854,22168
121000093,121000094,374.7895996092125,100000015,N854,22169
121000094,121000095,304.9389123077857,100000015,N854,22170
121000095,121000121,382.09536326542894,100000015,N854,22171
121000121,121000123,356.49021498169236,100000015,N854,22197
121000123,121000019,690.2231832719492,100000015,N854,22199
121000019,121000021,890.6012408466411,100000015,N854,22019
121000021,121000023,528.6322649696509,100000015,N854,22021
121000023,119000289,770.7693134435752,100000015,N854,22023
119000289,119000288,374.3848054874487,100000015,N854,20015
119000288,119000287,293.4766459396346,100000015,N854,20016
119000287,119000286,376.9605207959048,100000015,N854,20017
119000286,119000285,555.3496906768125,100000015,N854,20018
119000285,119000284,283.5963537259949,100000015,N854,20019
119000284,120000059,572.752294979335,100000015,N854,20020
120000059,120000060,367.0939758598334,100000015,N854,21161
120000060,120000061,887.2616038879435,100000015,N854,21162
111000907,111000001,248.22451992866488,100000016,N876,35331
111000001,111000003,586.1481789895774,100000016,N876,12001
111000003,111000005,491.3204117845842,100000016,N876,12003
111000005,111000007,791.0144398282091,100000016,N876,12005
111000007,112000129,394.95491220707356,100000016,N876,12007
112000129,111000085,316.2248220522724,100000016,N876,13212
111000085,111000086,449.72954421670437,100000016,N876,12173
111000086,111000327,364.21897609963696,100000016,N876,12174
111000327,111000087,219.20457590891417,100000016,N876,12422
111000087,111000088,405.1108302489771,100000016,N876,12175
111000088,111000074,224.93951347360192,100000016,N876,12176
111000074,111000076,515.1601702816012,100000016,N876,12162
111000076,112000137,426.1090214860245,100000016,N876,12164
112000137,112000135,298.7161142254715,100000016,N876,13220
112000135,112000134,242.87365249608732,100000016,N876,13218
112000134,112000132,370.15361276297205,100000016,N876,13217
112000132,112000130,255.57322901649107,100000016,N876,13215
112000130,112000072,319.24955064881084,100000016,N876,13213
112000072,112000070,305.97948631050514,100000016,N876,13155
112000070,112000352,361.7988034264154,100000016,N876,13153
112000352,112000068,234.83383806085592,100000016,N876,13749
112000068,112000066,260.83980427165926,100000016,N876,13151
112000066,113000135,439.7147480127914,100000016,N876,13149
113000135,113000414,643.9930368938533,100000016,N876,14226
113000414,113000413,515.9899098522665,100000016,N876,14016
113000413,113000412,752.0468799773944,100000016,N876,14014
113000412,118000088,2059.7290071628945,100000016,N876,14012
118000088,118000089,406.31097079489814,100000016,N876,19173
118000089,118000040,479.4598727357784,100000016,N876,19174
118000040,118000036,507.59979102613494,100000016,N876,19125
118000036,118000035,358.70345361064045,100000016,N876,19121
118000035,118000032,333.64001193576746,100000016,N876,19120
118000032,118000033,283.0705730539746,100000016,N876,19117
118000033,118000019,275.85159547826333,100000016,N876,19118
118000019,118000037,339.3337393895245,100000016,N876,19104
118000037,118000041,461.498699823841,100000016,N876,19122
