stationId,stationName,latitude,longitude
ST-4,102. 망원역 1번출구 앞,37.55564880,126.91062927
ST-5,103. 망원역 2번출구 앞,37.55495071,126.91083527
ST-6,104. 합정역 1번출구 앞,37.55073929,126.91508484
ST-7,105. 합정역 5번출구 앞,37.55000687,126.91482544
ST-8,106. 합정역 7번출구 앞,37.54864502,126.91282654
ST-9,107. 신한은행 서교동지점,37.55751038,126.91850281
ST-10,108. 서교동 사거리,37.55274582,126.91861725
ST-15,111. 상수역 2번출구 앞,37.54787064,126.92353058
ST-18,113. 홍대입구역 2번출구 앞,37.55743790,126.92382050
ST-20,114. 홍대입구역 8번출구 앞,37.55706024,126.92442322
ST-12,115. 마스타 빌딩 앞,37.55893326,126.92711639
ST-17,117. 홍은사거리,37.59115982,126.94132996
ST-19,118. 광흥창역 2번출구 앞,37.54773331,126.93176270
ST-21,119. 서강나루 공원,37.54520798,126.93146515
ST-22,120. 신수동 사거리,37.54524231,126.93411255
ST-23,121. 마포소방서 앞,37.54976654,126.93317413
ST-24,122. 신성기사식당 앞,37.54745865,126.93837738
ST-25,123. 문화촌 공원,37.59432983,126.94738770
ST-26,124. 서강대 정문 건너편,37.55113983,126.93698883
ST-28,126. 서강대 후문 옆,37.55041122,126.94384766
ST-29,127. 현대벤처빌 앞,37.55352020,126.93695068
ST-30,128. 신촌역(2호선) 1번출구 옆,37.55549622,126.93634033
ST-31,129. 신촌역(2호선) 6번출구 옆,37.55505371,126.93756866
ST-32,130. 신촌역(2호선) 7번출구 앞,37.55485916,126.93615723
ST-33,131. 증산2교,37.58417130,126.91110229
ST-35,133. 해담는다리,37.58203125,126.90899658
ST-36,134. 연세로 명물길,37.55789185,126.93807983
ST-37,135. 명물길 원형무대 앞,37.55922699,126.93984222
ST-39,137. 신촌기차역입구 교차로,37.55681229,126.94318390
ST-40,138. 신촌동 제1공영주차장 앞,37.55917740,126.93452454
ST-43,139. 연세대 정문 건너편,37.55986404,126.93441772
ST-41,140. 이화여대 후문,37.56000900,126.94073486
ST-42,141. 연대 대운동장 옆,37.56238174,126.93264771
ST-200,142. 아현역 4번출구 앞,37.55720139,126.95566559
ST-201,143. 공덕역 2번출구,37.54457855,126.95021820
ST-202,144. 공덕역 8번출구,37.54357910,126.95132446
ST-203,145. 공덕역 5번출구,37.54425049,126.95163727
ST-204,146. 마포역 2번출구 뒤,37.53993607,126.94582367
ST-205,147. 마포역 4번출구 뒤,37.53927231,126.94591522
ST-206,148. 용강동 주민센터 앞,37.54234695,126.94302368
ST-207,150. 서강대역 2번출구 앞,37.55295563,126.93434143
ST-210,153. 성산2교 사거리,37.56469727,126.91261292
ST-211,154. 마포구청역 ,37.56090927,126.90549469
ST-212,155. 가좌역1 번출구 앞,37.56829453,126.91504669
ST-213,156. 서울서부지방법원 앞,37.54933167,126.95491791
ST-214,157. 애오개역 4번출구 앞,37.55300140,126.95668793
ST-216,159. 이대역 4번 출구,37.55695343,126.94634247
ST-217,160. 북아현동 가구거리,37.55754852,126.95938110
ST-218,161. 무악재역1번 출구,37.58224487,126.95064545
ST-219,162. 봉원고가차도 밑,37.56626129,126.94667053
ST-220,163. 명지전문대학교 정문 앞,37.58369827,126.92496490
ST-221,164. 북가좌1동 주민센터 ,37.57447815,126.91004944
ST-222,165. 중앙근린공원,37.57513809,126.91394043
ST-223,166. 가재울 초등학교,37.57381821,126.91923523
ST-224,167. 연가초등학교 옆,37.57946014,126.91712952
ST-226,169. 북가좌 삼거리,37.57300186,126.90779877
ST-227,170. DMC파크뷰자이아파트 302동 앞,37.57311249,126.92244720
ST-228,171. 임광빌딩 앞,37.56472397,126.96727753
ST-230,173. 서대문역 8번출구 앞,37.56477737,126.96614838
ST-231,175. 홍연2교옆,37.57806778,126.93088531
ST-555,176. 명지대학교 도서관,37.58109665,126.92402649
ST-345,177. 북가좌 초등학교,37.57763672,126.90965271
ST-349,178. 증산3교 앞,37.57987595,126.90634918
ST-232,179. 가좌역 4번출구 앞,37.56877518,126.91529846
ST-233,180. 충정로역 7번출구 아래,37.55996704,126.96246338
ST-339,181. 망원초록길 입구,37.55134201,126.90267181
ST-340,182. 망원2빗물펌프장 앞,37.55136490,126.90306091
ST-341,183. 하늘채코오롱아파트 건너편,37.56538773,126.91932678
